gender	SEX	contact	Female	<Filter name = "hsapiens_gene_breastCancer__resultsData__dm__female_bool" value="only" filter_list=""/>
ttype	TISSUETYPE	sample	Normal Adjacent/Adjacent	<Filter name = "hsapiens_gene_breastCancer__resultsData__dm__Normal_adjacent_bool" value="only" filter_list=""/>	
ttype	TISSUETYPE	sample	Normal Surround/Normal Surround (>2cm)	<Filter name="hsapiens_gene_breastCancer__resultsData__dm__Surrounding_normal_bool" value="only" filter_list=""/>	
ttype	TISSUETYPE	sample	Risk Reduction/Normal RR	<Filter name = "hsapiens_gene_breastCancer__resultsData__dm__Risk_reduction_bool" value="only" filter_list=""/>	
ttype	TISSUETYPE	sample	Reduction Mammoplasty	<Filter name = "hsapiens_gene_breastCancer__resultsData__dm__Reduction_mammoplasty_bool" value="only" filter_list=""/>	
ttype	TISSUETYPE	sample	Benign	<Filter name = "hsapiens_gene_breastCancer__resultsData__dm__Benign_lesion_bool" value="only" filter_list=""/>	
ttype	TISSUETYPE	sample	DCIS	<Filter name = "hsapiens_gene_breastCancer__resultsData__dm__malignant_lesions_1_bool" value="only" filter_list=""/>	
ttype	TISSUETYPE	sample	LCIS	<Filter name="hsapiens_gene_breastCancer__resultsData__dm__malignant_lesions_2_bool" value="only" filter_list=""/>		
ctype	TYPEOFTUMOR	diseasebreastcancerepisode	No specific type/Infiltrating ductal carcinoma	<Filter name = "hsapiens_gene_breastCancer__resultsData__dm__malignant_lesions_4_bool" value="only" filter_list=""/>	
ctype	TYPEOFTUMOR	diseasebreastcancerepisode	Apocrine carcinoma	<Filter name="hsapiens_gene_breastCancer__resultsData__dm__malignant_lesions_14_bool" value="only" filter_list=""/>	
ctype	TYPEOFTUMOR	diseasebreastcancerepisode	Infiltrating lobular carcinoma	<Filter name = "hsapiens_gene_breastCancer__resultsData__dm__malignant_lesions_5_bool" value="only" filter_list=""/>	
ctype	TYPEOFTUMOR	diseasebreastcancerepisode	Tubular carcinoma	<Filter name = "hsapiens_gene_breastCancer__resultsData__dm__malignant_lesions_6_bool" value="only" filter_list=""/>	
ctype	TYPEOFTUMOR	diseasebreastcancerepisode	Cribriform carcinoma	<Filter name = "hsapiens_gene_breastCancer__resultsData__dm__malignant_lesions_13_bool" value="only" filter_list=""/>	
ctype	TYPEOFTUMOR	diseasebreastcancerepisode	Mucinous carcinoma/Mucinous	<Filter name = "hsapiens_gene_breastCancer__resultsData__dm__malignant_lesions_7_bool" value="only" filter_list=""/>	
ctype	TYPEOFTUMOR	diseasebreastcancerepisode	Medullary-like carcinoma	<Filter name = "hsapiens_gene_breastCancer__resultsData__dm__malignant_lesions_8_bool" value="only" filter_list=""/>	
ctype	TYPEOFTUMOR	diseasebreastcancerepisode	Invasive micropapillary carcinoma/Invasive micropapillary	<Filter name = "hsapiens_gene_breastCancer__resultsData__dm__malignant_lesions_3_bool" value="only" filter_list=""/>	
ctype	TYPEOFTUMOR	diseasebreastcancerepisode	Metaplastic carcinoma	<Filter name = "hsapiens_gene_breastCancer__resultsData__dm__with_malignant_lesions_9" value="only" filter_list=""/>
