FILE_NAME	SAMPLE_NAME	CANCERTYPE	MOLECULAR_SUBTYPE	TYPE	DERIVED_FROM	GENDER	ETHNICGROUP	AGE	ER	PR	HER2	NOTES	CCLE_FILE_NAME
EFM-192A	GSM886998.CEL	Adenocarcinoma	Adenocarcinoma	Metastatic	Pleural Effusion	Female	Caucasian	46	1	1	1	Clinical information obtained from CCLE, DSMZ and ATCC.	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_B11_240894.CEL
HCC1143	GSM887033.CEL	Ductal Carcinoma	Ductal Carcinoma	Primary Tumour	Primary Tumour	Female	Caucasian	52	0	0	0	Clinical information obtained from CCLE, DSMZ and ATCC.	CASED_p_NCLE_RNA4_HG-U133_Plus_2_E02_383668.CEL
HCC1187	GSM887035.CEL	Ductal Carcinoma	Ductal Carcinoma	Primary Tumour	Primary Tumour	Female	Caucasian	41	0	0	0	Clinical information obtained from CCLE, DSMZ and ATCC.	CASED_p_NCLE_RNA4_HG-U133_Plus_2_G09_383594.CEL
HCC1395	GSM887037.CEL	Ductal Carcinoma	Ductal Carcinoma	Primary Tumour	Primary Tumour	Female	Caucasian	43	0	0	0	Clinical information obtained from CCLE, DSMZ and ATCC.	CASED_p_NCLE_RNA4_HG-U133_Plus_2_E12_383706.CEL
HCC1419	GSM887038.CEL	Ductal Carcinoma	Ductal Carcinoma	Primary Tumour	Primary Tumour	Female	Hispanic	42	0	0	1	Clinical information obtained from CCLE, DSMZ and ATCC.	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_A07_474600.CEL
HCC1428	GSM887039.CEL	Adenocarcinoma	Adenocarcinoma	Metastatic	Adenocarcinoma and Pleural Effusion	Female	Caucasian	49	1	1	0	Clinical information obtained from CCLE, DSMZ and ATCC.	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_A12_474732.CEL
HCC1500	GSM887040.CEL	Ductal Carcinoma	Ductal Carcinoma	Primary Tumour	Primary Tumour	Female	Black	32	1	1	0	Clinical information obtained from CCLE, DSMZ and ATCC.	SILOS_p_NCLE_RNA9_HG-U133_Plus_2_D09_523496.CEL
HCC1569	GSM887041.CEL	Carcinoma	Carcinoma (Metaplastic)	Primary Tumour	Primary Tumour	Female	Black	70	0	0	1	Clinical information obtained from CCLE, DSMZ and ATCC.	CASED_p_NCLE_RNA4_HG-U133_Plus_2_E06_383684.CEL
HCC1599	GSM887042.CEL	Ductal Carcinoma	Ductal Carcinoma	Primary Tumour	Primary Tumour	Female	Caucasian	44	0	0	0	Clinical information obtained from CCLE, DSMZ and ATCC.	SILOS_p_NCLE_RNA9_HG-U133_Plus_2_D10_523634.CEL
HCC1806	GSM887044.CEL	Carcinoma	Carcinoma (Acantholytic Squamous Cell )	Primary Tumour	Primary Tumour	Female	Black	60	0	0	0	Clinical information obtained from CCLE, DSMZ and ATCC.	SILOS_p_NCLE_RNA9_HG-U133_Plus_2_A05_523512.CEL
HCC1937	GSM887045.CEL	Ductal Carcinoma	Ductal Carcinoma	Primary Tumour	Primary Tumour	Female	Caucasian	23	0	0	0	Clinical information obtained from CCLE, DSMZ and ATCC.	CASED_p_NCLE_RNA4_HG-U133_Plus_2_E05_383680.CEL
HCC1954	GSM887046.CEL	Ductal Carcinoma	Ductal Carcinoma	Primary Tumour	Primary Tumour	Female	East Indian	61	0	0	1	Clinical information obtained from CCLE, DSMZ and ATCC.	BUNDS_p_NCLE_RNA5_HG-U133_Plus_2_F08_419788.CEL
HCC202	GSM887047.CEL	Ductal Carcinoma	Ductal Carcinoma	Primary Tumour	Primary Tumour	Female	Caucasian	82	0	0	1	Clinical information obtained from CCLE, DSMZ and ATCC. Discontinued from ATCC.	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_G10_454732.CEL
HCC2157	GSM887048.CEL	Ductal Carcinoma	Ductal Carcinoma	Primary Tumour	Primary Tumour	Female	Black	48	0	0	0	Clinical information obtained from CCLE, DSMZ and ATCC.	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_B01_436616.CEL
HCC2218	GSM887049.CEL	Ductal Carcinoma	Ductal Carcinoma	Primary Tumour	Primary Tumour	Female	Caucasian	NA	0	0	1	Clinical information obtained from CCLE, DSMZ and ATCC. Discontinued from ATCC.	BUNDS_p_NCLE_RNA5_HG-U133_Plus_2_B03_419876.CEL
HCC38	GSM887054.CEL	Ductal Carcinoma	Ductal Carcinoma	Primary Tumour	Primary Tumour	Female	Caucasian	50	0	0	0	Clinical information obtained from CCLE, DSMZ and ATCC.	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_F09_436452.CEL
HCC70	GSM887058.CEL	Ductal Carcinoma	Ductal Carcinoma	Primary Tumour	Primary Tumour	Female	Black	49	0	0	0	Clinical information obtained from CCLE, DSMZ and ATCC.	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_C07_454622.CEL
HDQ-P1	GSM887066.CEL	Ductal Carcinoma	Ductal Carcinoma	Primary Tumour	Primary Tumour	Female	Caucasian	50	0	0	NS	Clinical information obtained from CCLE, DSMZ and ATCC.	SILOS_p_NCLE_RNA9_HG-U133_Plus_2_H05_523478.CEL
Hs274T	GSM887094.CEL	Adenocarcinoma	Adenocarcinoma	Primary Tumour	Primary Tumour	Female	Caucasian	66	NS	NS	NS	Clinical information obtained from CCLE, DSMZ and ATCC.	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_B05_474706.CEL
Hs281T	GSM887095.CEL	Adenocarcinoma	Adenocarcinoma	Primary Tumour	Primary Tumour	Female	Caucasian	37	NS	NS	NS	Clinical information obtained from ATCC and Jiang et. al (2016).	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_A09_474590.CEL
Hs343T	GSM887097.CEL	Adenocarcinoma	Adenocarcinoma	Primary Tumour	Primary Tumour	Female	Caucasian	47	NS	NS	NS	Clinical information obtained from CCLE, DSMZ and ATCC.	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_D01_474640.CEL
Hs578T	GSM887098.CEL	Carcinoma	Carcinoma	Primary Tumour	Primary Tumour	Female	Caucasian	74	0	NS	NS	Clinical information obtained from CCLE, DSMZ and ATCC.	CASED_p_NCLE_RNA4_HG-U133_Plus_2_C01_383628.CEL
Hs606T	GSM887101.CEL	Carcinoma	Carcinoma	Primary Tumour	Primary Tumour	Female	Caucasian	44	NS	NS	NS	Clinical information obtained from CCLE, DSMZ and ATCC.	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_H08_296172.CEL
Hs739T	GSM887113.CEL	Adenocarcinoma	Adenocarcinoma	Primary Tumour	Primary Tumour	Female	Caucasian	52	NS	NS	NS	Clinical information obtained from CCLE, DSMZ and ATCC.	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_E11_436480.CEL
Hs742T	GSM887114.CEL	Scirrhous Adenocarcinoma	Scirrhous Adenocarcinoma	Primary Tumour	Primary Tumour	Female	Caucasian	71	NS	NS	NS	Clinical information obtained from CCLE, DSMZ and ATCC.	BITTS_p_NCLE_RNA12_HG-U133_Plus_2_A01_698800.CEL
JIMT-1	GSM887183.CEL	Ductal Carcinoma	Ductal Carcinoma	Metastatic	Pleural Effusion	Female	NS	62	0	0	1	Clinical information obtained from CCLE, DSMZ and ATCC.	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_H09_474734.CEL
KPL-1	GSM887238.CEL	Carcinoma	Carcinoma	Metastatic	Pleural Effusion	Female	Japanese	NA	1	0	NS	Clinical information obtained from CCLE, DSMZ and ATCC. DNA fingerprinting analysis at the DSMZ showed cross-contamination with cell line MCF-7.	BITTS_p_NCLE_RNA12_HG-U133_Plus_2_A12_698746.CEL
MCF7	GSM887291.CEL	Adenocarcinoma	Adenocarcinoma	Metastatic	Pleural Effusion	Female	Caucasian	69	1	1	0	Clinical information obtained from CCLE, DSMZ and ATCC.	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_G05_454738.CEL
MDA-MB-134-VI	GSM887292.CEL	Ductal Carcinoma	Ductal Carcinoma	Metastatic	Pleural Effusion	Female	Caucasian	47	1	0	0	Clinical information obtained from CCLE, DSMZ and ATCC.	SILOS_p_NCLE_RNA9_HG-U133_Plus_2_D08_523486.CEL
MDA-MB-157	GSM887293.CEL	Medullary Carcinoma	Medullary Carcinoma	Metastatic	Pleural Effusion	Female	Black	44	0	0	0	Clinical information obtained from CCLE, DSMZ and ATCC.	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_H12_454750.CEL
MDA-MB-175-VII	GSM887294.CEL	Ductal Carcinoma	Ductal Carcinoma	Metastatic	Pleural Effusion	Female	Black	56	NS	NS	NS	Clinical information obtained from CCLE, DSMZ and ATCC.	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_G03_436510.CEL
MDA-MB-231	GSM887295.CEL	Adenocarcinoma	Adenocarcinoma	Metastatic	Pleural Effusion	Female	Caucasian	51	0	0	0	Clinical information obtained from CCLE, DSMZ and ATCC.	BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_A01_241042.CEL
MDA-MB-361	GSM887296.CEL	Adenocarcinoma	Adenocarcinoma	Metastatic	Brain	Female	Caucasian	40	1	1	1	Clinical information obtained from CCLE, DSMZ and ATCC.	CASED_p_NCLE_RNA4_HG-U133_Plus_2_C08_383600.CEL
MDA-MB-415	GSM887297.CEL	Adenocarcinoma	Adenocarcinoma	Metastatic	Pleural Effusion	Female	Caucasian	38	0	0	0	Clinical information obtained from CCLE, DSMZ and ATCC.	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_H09_296174.CEL
MDA-MB-436	GSM887299.CEL	Adenocarcinoma	Adenocarcinoma	Metastatic	Pleural Effusion	Female	Caucasian	43	0	0	0	Clinical information obtained from CCLE, DSMZ and ATCC.	CASED_p_NCLE_RNA4_HG-U133_Plus_2_C09_383596.CEL
MDA-MB-453	GSM887300.CEL	Carcinoma	Carcinoma	Metastatic	Pericardial Effusion	Female	Caucasian	48	0	0	1	Clinical information obtained from CCLE, DSMZ and ATCC.	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_H10_241036.CEL
MDA-MB-468	GSM887301.CEL	Adenocarcinoma	Adenocarcinoma	Metastatic	Pleural Effusion	Female	Black	51	0	0	0	Clinical information obtained from CCLE, DSMZ and ATCC.	PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_A02_257600.CEL
SK-BR-3	GSM887575.CEL	Adenocarcinoma	Adenocarcinoma	Metastatic	Pleural Effusion	Female	Caucasian	43	0	0	1	Clinical information obtained from CCLE, DSMZ and ATCC. SkBr3 line is derived from the same patient as the AU565 cell line.	CASED_p_NCLE_RNA4_HG-U133_Plus_2_D06_383700.CEL
T-47D	GSM887685.CEL	Ductal Carcinoma	Ductal Carcinoma	Metastatic	Pleural Effusion	Female	NS	54	1	1	0	Clinical information obtained from CCLE, DSMZ and ATCC.	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_H12_436432.CEL
UACC-812	GSM887727.CEL	Ductal Carcinoma	Ductal Carcinoma	Primary Tumour	Primary Tumour	Female	NS	43	0	0	1	Clinical information obtained from CCLE, DSMZ and ATCC.	SILOS_p_NCLE_RNA9_HG-U133_Plus_2_C01_523502.CEL
UACC-893	GSM887728.CEL	Ductal Carcinoma	Ductal Carcinoma	Primary Tumour	Primary Tumour	Female	Caucasian	57	0	0	1	Clinical information obtained from CCLE, DSMZ and ATCC.	SILOS_p_NCLE_RNA9_HG-U133_Plus_2_E11_523470.CEL
YMB-1	GSM887749.CEL	Ductal Carcinoma	Ductal Carcinoma	Metastatic	Ascites Fluid	Female	Caucasian	63	1	NS	NS	Clinical information obtained from CCLE, DMSZ and ATCC. Problematic cell line. Shown to be a ZR-75-1 derivative.	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_H01_436482.CEL
ZR-75-1	GSM887750.CEL	Ductal Carcinoma	Ductal Carcinoma	Metastatic	Ascites Fluid	Female	Caucasian	63	1	NS	NS	Clinical information obtained from CCLE, DSMZ and ATCC.	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_C04_454614.CEL
